"cz90","region","state_fips","population","val","periodf","genx_noncoll","blackpop_pct","l_sh_popfborn","incRate_corrected_estimated_25_ln","D.emptopopc","otch"
100,"3","47",531165,0.527699039860116,"first",19.0755915807753,2.076944075758,1.0654762,6.14089082893017,-0.198402374600505,0.837875825
100,"3","47",573378,0.599882463940905,"second.alt",13.8151461884166,2.20151453317009,1.7894421,6.56305006081827,3.74361,2.754995
10000,"3","12",150802,0.799171358165403,"first",19.6206313941322,11.5071418150953,4.6996288,7.03405433459308,-3.4417626289461,0.10437372125
10000,"3","12",171702,0.0671473458695915,"second.alt",14.408219719673,11.7430198832862,5.4641128,7.6733914211254,2.14640090909091,0.438760916666667
1001,"3","37",67580,0.204629753212588,"first",18.3795185461983,2.03758508434448,1.0931907,5.45217553596914,1.2247278885003,1.0056048625
1001,"3","37",76829,0.549976208684115,"second.alt",12.8428949691811,2.20099181298728,2.9178226,5.61587933853921,3.04464636363636,2.17878858333333
1002,"3","37",143505,-0.703852806102534,"first",19.8864910765268,4.81028535591094,1.0285965,6.57208748958315,2.0799112733134,1.570962375
1002,"3","37",163480,0.374715866531228,"second.alt",14.8065686725044,4.91925617812576,4.0331273,6.00900524470112,7.36076818181818,4.82975883333333
10101,"3","13",41253,0.41620469042785,"first",24.0417204324104,36.2543330182047,2.3719893,7.43128167245,0.135086229530302,1.162562375
10101,"3","13",43805,-0.0979707251092425,"second.alt",14.6333056225795,37.4318000228284,3.3323174,7.76424542479228,6.00019545454545,2.6025615
10102,"3","13",65928,-0.10518141910792,"second.alt",14.6333056225795,36.159143307851,3.3323174,7.48825035624441,6.00019545454545,1.42342183333333
10200,"3","13",168522,0.672554007192983,"first",24.3972186014887,45.846833054438,1.6067349,7.06885207029284,-0.041897830263899,0.7689441
10200,"3","13",181259,0.0351505334126142,"second.alt",15.3911751109545,48.7771641683999,3.2401156,7.60689527604723,3.34427090909091,1.618042
10301,"3","13",61090,0.128671963783339,"second.alt",15.545697157164,50.952692748404,3.609015,7.21160418335162,1.57674181818182,3.27617191666667
10302,"3","01",212919,0.292571376950109,"first",21.0100265381448,20.585762660918,2.6232581,6.87955519796364,1.1179948128336,1.386461
10302,"3","01",222755,0.182231325262197,"second.alt",13.2244016390513,21.7063590042872,3.7946258,7.11361229952373,1.40930545454545,2.63142925
10400,"3","28",149251,0.550728210310415,"first",22.7172628766511,32.9686233258069,0.80459487,6.52522082961006,-0.8073068531735,1.42668575
10400,"3","28",157100,0.522530285091889,"second.alt",13.5779774312998,34.8147676639083,2.0255017,6.96580339785839,2.50989181818182,3.28663166666667
10501,"3","28",93328,0.479623896113165,"first",22.0758796590559,42.832804731699,1.8885497,6.55935602351409,0.214679870196903,1.551898125
10501,"3","28",95213,0.633987341930653,"second.alt",13.5570753233769,45.712245176604,1.6892815,6.94305514040463,2.04042090909091,2.64036258333333
10502,"3","28",99048,0.588308362997403,"first",21.863125242342,38.3935061788224,2.3113723,6.29832751926465,-0.793967766764794,2.126947625
10502,"3","28",104461,0.496613074714855,"second.alt",12.3655485909629,40.4418874029542,2.1014555,6.76897420966257,3.85752363636364,4.48245641666667
10600,"3","01",161112,0.420638070142462,"second.alt",14.8188756443037,6.10693182382442,2.6678634,6.64782909512058,2.60004545454545,4.36893308333333
10700,"3","01",953186,0.381616139812168,"first",18.4491537308898,26.3222498022422,1.6198751,6.63596863684633,-0.759434064109797,0.2677312625
10700,"3","01",1033161,0.0776776207334658,"second.alt",11.6240190783474,27.34268908718,3.4901683,6.94126154869607,1.68542272727273,0.784305083333333
10801,"3","01",246540,0.435241275654034,"first",19.9766288105073,36.3705686703983,1.8955154,6.68755019080167,-0.633091342725706,0.7691976375
10801,"3","01",260676,0.00933066200748583,"second.alt",13.239129714186,38.6617870459881,2.5556645,7.0357432113249,2.15503545454545,1.95507008333333
10802,"3","01",65491,-0.335280041121471,"first",23.4371190873491,58.6966148020339,0.76431167,6.66287779890236,-0.490682249117498,1.2459287
10802,"3","01",63430,0.443793361024129,"second.alt",15.0842290360947,59.8265804824216,1.5199424,6.39465376600518,2.77958818181818,1.94441916666667
10900,"3","12",530792,0.389174413398722,"first",18.7284454556583,13.87304254774,5.1267991,6.85869622874943,1.9029354960002,0.1895032125
10900,"3","12",618944,0.137972260344368,"second.alt",12.4514285836905,14.3138959259642,6.5805993,7.17003575946841,0.697165818181818,0.434648641666667
1100,"3","37",315932,0.291789082187851,"first",20.3348986590855,10.0372865046909,1.5299001,6.09384966373417,1.8766974642477,1.1562320625
1100,"3","37",369490,0.158128627009169,"second.alt",14.7677476101411,9.44030961595713,6.5865636,6.32728092948446,8.87754272727273,4.31633191666667
11001,"3","01",543346,0.587906976809758,"first",21.1938318440292,29.2183985894807,2.0868347,6.5663397498953,-0.964625631750103,0.4464171125
11001,"3","01",596061,0.208113284104807,"second.alt",13.4360862795862,29.4234986016532,3.4233291,7.03666533134311,0.844474727272727,1.16116583333333
11002,"3","01",74065,0.555858432636811,"first",21.9332549019058,34.5453318031459,0.83426636,6.72455392669421,2.6378319540754,2.078145
11002,"3","01",76934,-0.0119032774672512,"second.alt",15.2489453169398,36.2531520524086,1.4406712,7.16924067280365,5.32826,2.874463
11101,"3","01",332884,0.324136714181146,"first",20.8285831712656,38.1186839860131,2.1432593,6.88753917654274,1.2489050554318,0.4621876375
11101,"3","01",366145,0.132370196554471,"second.alt",13.2087581414075,40.5814636277977,3.2066479,7.14684854788766,1.07889818181818,1.33742175
